,Age,Gender,Edu_Background,MaritalStatus,Emp_Dept,Emp_JobRole,Busi_Trav_Freq,Dist_From_Home,Emp_Edu_Level,Emp_Envi_Satisfaction,Emp_Hour_Rate,Emp_Job_Involvement,EmpJobLevel,EmpJobSatisfaction,Num_Comp_worked,OverTime,Last_Sal_Hike_Perc,Emp_Rel_Satisfaction,Tot_WorkExp,TrainingTimes_LastYear,EmpWork_LifeBal,Exp_At_ThisComp,Curr_Role_Exp,Since_LastPromo,Curr_Manager_Years,Attrition,Performance_Rating
0,32,1,3,2,4,18,2,10,3,4,55,3,2,4,1,0,12,4,10,2,2,10,7,0,8,0,2
1,47,1,3,2,4,18,2,14,4,4,42,3,2,1,2,0,12,4,20,2,3,7,7,1,7,0,2
2,40,1,5,1,4,18,1,5,4,4,48,2,3,1,5,1,21,3,20,2,3,18,13,1,12,0,0
3,41,1,0,0,2,11,2,10,4,2,73,2,5,4,3,0,15,2,23,2,2,21,6,12,6,0,2
4,60,1,3,2,4,18,2,16,4,1,84,3,2,1,8,0,14,4,10,1,3,2,2,2,2,0,2
5,27,1,5,0,5,17,1,10,2,4,32,3,3,1,1,0,21,3,9,4,2,9,7,1,7,0,0
6,50,1,3,1,4,14,2,8,4,4,54,3,1,2,7,0,15,4,4,2,3,2,2,2,2,0,2
7,28,0,5,2,5,17,2,1,2,1,67,1,1,2,7,1,13,4,10,4,3,7,7,3,7,1,2
8,36,0,5,1,5,17,0,8,3,1,63,4,3,1,9,0,14,1,10,2,3,8,7,0,5,0,2
9,38,0,5,2,5,17,2,1,3,3,81,3,3,3,4,1,14,4,10,4,4,1,0,0,0,0,2
10,44,1,4,2,5,17,0,24,3,1,49,1,1,3,2,0,14,3,9,5,3,5,2,1,4,0,2
11,47,0,4,0,4,18,1,3,3,4,49,3,4,3,9,1,12,4,28,2,2,22,2,11,13,0,2
12,30,1,3,0,4,18,2,27,5,3,99,3,2,4,7,0,23,4,10,2,2,8,7,7,7,0,0
13,29,1,5,2,4,14,2,10,3,3,99,3,1,3,1,0,11,3,1,6,3,1,0,0,0,0,2
14,42,1,4,0,5,17,1,19,3,3,57,4,1,3,6,1,12,4,7,2,3,2,2,2,2,1,2
15,34,0,4,2,5,17,2,8,2,2,96,3,2,3,3,0,11,4,10,2,3,5,1,4,3,0,2
16,39,0,0,1,2,9,2,3,3,3,44,4,2,2,9,0,15,3,12,3,1,8,3,3,6,0,2
17,56,1,4,1,5,17,2,9,3,3,81,3,4,4,7,0,11,3,30,1,2,10,7,1,1,0,2
18,40,0,4,2,5,17,2,2,1,4,86,2,1,4,0,1,20,4,5,2,2,4,2,2,3,0,0
19,27,0,4,2,5,17,2,7,3,4,55,2,2,1,8,0,19,1,9,2,1,7,6,0,7,0,2
20,29,1,3,0,4,14,2,10,3,4,83,3,1,2,1,0,14,4,2,2,3,2,2,2,2,0,2
21,53,1,5,2,5,17,2,6,3,4,86,3,2,4,2,0,17,4,19,4,3,2,2,2,2,0,2
22,35,0,5,0,5,12,0,2,4,4,61,3,2,1,2,0,11,1,16,2,4,1,0,0,0,0,2
23,32,1,5,1,5,17,1,24,4,1,80,3,2,4,1,0,15,4,10,2,3,10,8,4,7,0,2
24,34,0,5,0,5,17,2,8,5,2,32,3,2,1,3,0,14,3,7,3,3,0,0,0,0,0,2
25,52,1,3,1,4,11,2,3,4,3,31,2,4,1,1,0,11,1,34,3,4,34,6,1,16,0,0
26,33,1,1,2,5,17,2,1,4,4,63,3,1,4,1,1,13,3,10,2,2,10,9,7,8,1,2
27,25,0,4,2,4,18,2,26,1,3,32,3,2,4,1,0,23,2,6,5,2,6,5,1,4,0,0
28,45,1,2,2,4,14,2,2,2,2,46,1,2,3,0,0,13,1,9,3,3,8,7,3,1,0,2
29,23,1,4,2,5,17,2,10,1,1,79,4,1,3,1,0,18,4,2,3,3,2,2,0,2,0,2
30,47,0,5,2,4,18,1,27,2,2,77,4,2,3,4,1,12,4,8,2,3,5,4,1,3,1,2
31,34,1,1,2,4,18,2,2,3,4,60,3,2,4,1,0,22,3,6,5,3,6,5,1,4,0,0
32,36,1,5,2,4,18,0,8,4,1,76,2,3,1,1,0,15,2,10,1,3,10,7,0,9,0,2
33,52,1,4,1,5,17,0,19,4,4,41,3,1,4,0,0,18,1,5,3,3,4,3,1,2,0,2
34,26,0,5,0,5,17,1,1,2,1,71,1,1,4,3,0,14,1,5,2,3,2,2,2,0,0,2
35,29,0,4,1,5,17,2,27,3,2,66,3,2,3,4,0,12,1,11,3,2,8,7,1,1,0,2
36,26,1,2,2,4,18,2,8,3,4,38,2,2,1,6,0,17,3,6,2,2,4,3,1,2,1,2
37,34,0,5,2,5,17,2,1,4,2,72,4,1,4,2,0,16,3,10,2,3,4,2,1,3,0,2
38,54,0,4,0,5,17,2,19,4,4,95,3,2,1,9,1,11,2,9,4,3,5,3,1,4,0,2
39,27,1,3,1,4,18,1,8,1,3,84,3,2,4,0,0,19,2,5,3,3,4,2,1,1,0,2
40,37,0,5,0,5,17,2,10,1,4,82,3,1,1,0,1,13,2,6,3,2,5,3,4,3,0,2
41,38,0,5,2,5,17,1,2,4,1,75,4,2,1,6,1,12,4,17,2,3,15,7,4,12,0,2
42,34,0,4,2,5,17,2,2,4,3,86,2,1,1,1,0,11,3,6,3,3,6,5,1,3,0,2
43,35,0,5,1,4,14,2,8,4,1,72,3,1,4,1,0,16,2,3,1,2,3,2,0,2,0,2
44,40,0,4,1,5,17,1,2,2,3,38,4,2,2,1,0,24,4,8,2,3,8,7,3,7,0,0
45,34,0,5,1,4,18,2,8,2,3,93,3,2,1,5,0,17,2,6,1,3,3,2,1,2,0,2
46,24,1,5,0,5,12,0,9,3,3,60,2,1,2,1,0,11,3,1,4,3,1,0,0,0,0,2
47,52,0,5,1,5,12,2,11,4,4,82,3,2,3,8,0,20,2,9,3,3,5,2,1,4,0,0
48,50,1,4,1,5,17,2,2,3,3,64,3,4,3,5,0,16,4,30,3,3,4,3,0,3,0,2
49,29,0,5,1,5,17,2,1,2,2,36,2,1,1,1,1,11,4,1,1,3,1,0,0,0,1,2
50,33,1,4,1,5,17,2,7,3,3,49,3,3,3,0,0,11,4,14,3,4,13,9,3,7,0,2
51,33,0,3,2,4,18,2,16,3,1,69,3,2,1,5,0,15,3,6,3,3,3,2,0,2,1,2
52,47,0,1,1,5,17,2,2,2,3,33,3,4,4,1,1,11,3,26,3,2,26,14,3,0,0,2
53,36,0,1,1,5,17,2,1,3,3,35,3,2,2,0,0,15,1,10,2,3,9,7,0,5,0,2
54,29,1,5,1,5,12,2,23,2,3,81,4,1,3,1,0,24,3,10,3,3,10,7,0,7,0,0
55,35,0,5,2,5,12,2,1,4,4,40,4,1,3,3,0,13,3,7,0,3,2,2,2,2,0,2
56,42,0,5,1,5,17,2,1,2,4,43,2,2,4,9,1,13,4,8,4,3,4,3,0,2,0,2
57,28,1,4,2,5,17,2,2,4,3,46,3,1,3,6,0,17,4,5,3,2,2,2,2,1,1,2
58,36,1,0,1,2,9,2,13,3,3,36,3,1,2,4,0,13,2,8,2,3,5,2,0,4,0,2
59,40,1,4,2,5,17,1,16,4,1,51,2,2,3,6,0,14,4,10,6,3,1,0,0,0,0,2
60,30,0,4,2,5,17,2,2,3,3,52,2,2,4,5,1,24,2,12,4,2,0,0,0,0,0,0
61,45,0,5,2,5,17,2,2,3,2,95,2,1,3,1,0,14,4,1,3,3,1,0,0,0,0,2
62,42,1,5,1,5,17,2,29,3,2,98,3,2,2,1,0,13,4,10,3,2,9,8,7,8,0,2
63,38,1,5,0,5,17,1,12,3,1,45,2,2,1,2,0,15,3,13,3,2,4,3,1,2,0,2
64,49,0,3,1,4,18,2,11,3,3,43,3,3,4,1,0,18,1,9,3,4,9,8,7,7,1,2
65,55,1,4,2,4,18,2,2,1,3,37,3,2,4,4,0,16,3,12,3,2,9,7,7,3,1,2
66,43,1,5,1,5,17,2,14,2,2,94,3,4,1,6,0,24,3,22,3,3,4,1,1,0,0,2
67,27,1,2,0,5,17,2,5,1,3,42,2,3,4,1,1,16,2,9,3,3,9,8,0,8,0,2
68,35,1,1,2,5,17,2,7,3,3,59,3,3,3,3,0,21,2,17,3,4,8,5,1,6,0,0
69,28,0,3,1,4,18,2,2,4,2,81,3,2,2,1,1,20,1,8,2,3,8,7,7,5,0,2
70,26,0,4,1,5,17,1,5,2,3,88,2,1,3,1,1,14,1,8,2,3,8,7,1,7,1,2
71,27,1,4,1,5,17,0,3,3,4,50,3,1,4,1,0,11,3,0,6,2,0,0,0,0,0,2
72,51,0,3,1,4,11,2,26,4,1,66,3,4,3,2,0,14,3,29,2,2,20,6,4,17,0,2
73,44,1,4,2,5,17,2,4,3,4,50,3,2,2,9,0,12,4,10,2,2,5,2,2,3,0,2
74,25,1,4,2,5,17,2,2,1,1,65,4,1,1,7,0,13,3,6,3,2,4,3,0,1,0,2
75,35,0,4,2,5,12,2,27,1,3,53,2,1,1,1,0,11,4,6,3,2,6,5,1,1,0,2
76,36,1,5,1,4,18,2,1,2,2,56,3,2,4,1,1,14,4,18,1,2,18,14,4,11,0,2
77,53,0,3,1,4,18,2,7,2,1,78,2,3,4,7,1,18,4,35,3,3,5,2,0,4,0,2
78,45,1,3,0,4,18,2,9,3,4,74,3,3,1,4,1,12,3,18,2,3,5,4,0,2,0,2
79,32,0,4,1,5,17,2,8,2,3,91,4,2,3,5,0,12,3,9,3,2,5,3,1,3,0,2
80,37,1,3,0,4,18,2,16,4,4,66,2,2,3,4,0,19,4,9,2,3,1,0,0,0,0,2
81,28,1,4,0,2,9,2,8,2,2,63,2,1,4,1,0,13,4,6,6,3,5,1,0,4,0,2
82,22,1,5,1,5,12,2,1,2,4,33,2,2,4,6,0,22,1,4,2,1,2,2,2,2,0,2
83,44,1,5,1,5,17,2,8,4,1,62,4,1,4,2,1,24,3,10,2,2,3,2,0,2,0,2
84,42,1,4,2,5,12,1,2,1,2,35,3,1,4,5,1,14,4,8,2,3,2,1,2,2,0,2
85,36,1,5,1,2,9,2,8,3,1,77,2,1,1,0,0,21,3,6,3,3,5,4,0,3,0,2
86,25,1,1,1,4,18,2,3,1,3,98,3,2,1,1,1,18,4,5,3,3,5,3,0,3,0,2
87,35,0,5,0,5,17,1,25,4,4,96,3,1,2,1,1,19,1,10,3,2,10,2,7,8,1,2
88,32,1,5,0,5,17,0,1,3,4,61,3,1,4,0,0,12,2,4,2,3,3,0,0,2,0,2
89,49,0,2,1,0,5,2,1,3,3,36,3,1,1,2,0,16,2,7,2,3,4,2,0,2,0,2
90,24,1,5,1,5,12,0,4,1,1,46,2,1,4,0,0,17,4,6,2,2,5,2,3,4,0,2
91,32,1,5,1,4,18,1,5,2,2,48,3,2,2,1,0,14,4,10,3,3,10,8,5,3,0,2
